,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,39,Yes,Travel_Rarely,895,Sales,5.0,3,Technical Degree,4,Male,56.0,3,2,Sales Representative,4,Married,2097.9,3,No,14.0,3,3,1,19,5,4,1,0,0,0
34,24,Yes,Travel_Rarely,813,Research & Development,7.0,3,Medical,2,Male,61.0,3,1,Research Scientist,4,Married,2293.0,2,Yes,16.0,3,1,1,6,2,2,2,0,2,0
35,43,No,Travel_Rarely,1273,Research & Development,2.0,2,Medical,4,Female,72.0,4,1,Research Scientist,3,Divorced,2645.0,1,No,12.0,3,4,2,6,3,2,5,3,1,4
36,50,Yes,Travel_Rarely,869,Sales,3.0,2,Marketing,1,Male,86.0,2,1,Sales Representative,3,Married,2683.0,1,Yes,14.0,3,3,0,3,2,3,3,2,0,2
37,35,No,Travel_Rarely,890,Sales,2.0,3,Marketing,4,Female,97.0,3,1,Sales Representative,4,Married,2097.9,1,No,13.0,3,1,0,2,3,3,2,2,2,2
38,36,No,Travel_Rarely,852,Research & Development,5.0,4,Life Sciences,2,Female,82.0,2,1,Research Scientist,1,Married,3419.0,9,Yes,14.0,3,4,1,6,3,4,1,1,0,0
39,33,No,Travel_Frequently,1141,Sales,1.0,3,Life Sciences,3,Female,42.0,4,2,Sales Executive,1,Married,5376.0,2,No,19.0,3,1,2,10,3,3,5,3,1,3
40,35,No,Travel_Rarely,464,Research & Development,4.0,2,Other,3,Male,75.0,3,1,Laboratory Technician,4,Divorced,2097.9,1,No,12.0,3,3,1,1,3,3,1,0,0,0
41,27,No,Travel_Rarely,1240,Research & Development,2.0,4,Life Sciences,4,Female,33.0,3,1,Laboratory Technician,1,Divorced,2341.0,1,No,13.0,3,4,1,1,5,3,1,0,0,0
42,26,Yes,Travel_Rarely,1357,Research & Development,25.0,3,Life Sciences,1,Male,48.0,1,1,Laboratory Technician,3,Single,2293.0,1,No,12.0,3,3,0,1,2,2,1,0,0,1
43,27,No,Travel_Frequently,994,Sales,8.0,3,Life Sciences,4,Male,37.0,3,3,Sales Executive,3,Single,8726.0,1,No,15.0,3,4,0,9,1,3,9,8,1,7
44,30,No,Travel_Frequently,721,Research & Development,1.0,2,Medical,3,Female,58.0,3,2,Laboratory Technician,4,Single,4011.0,1,No,23.0,4,4,0,12,2,3,12,8,3,7
45,41,Yes,Travel_Rarely,1360,Research & Development,12.0,3,Technical Degree,2,Female,49.0,3,5,Research Director,3,Married,17727.699999999993,1,No,12.0,3,4,0,23,1,3,20,11,9,8
46,34,No,Non-Travel,1065,Sales,23.0,4,Marketing,2,Male,72.0,3,2,Sales Executive,3,Single,4568.0,0,No,20.0,4,3,0,10,2,3,9,5,8,7
47,37,No,Travel_Rarely,408,Research & Development,19.0,2,Life Sciences,2,Male,73.0,3,1,Research Scientist,2,Married,3022.0,4,No,21.0,4,1,0,8,1,3,1,0,0,0
48,46,No,Travel_Frequently,1211,Sales,5.0,4,Marketing,1,Male,98.0,3,2,Sales Executive,4,Single,5772.0,4,Yes,21.0,4,3,0,14,4,3,9,6,0,8
49,35,No,Travel_Rarely,1229,Research & Development,8.0,1,Life Sciences,4,Male,36.0,4,1,Laboratory Technician,4,Married,2269.0,1,No,19.0,3,4,0,1,2,3,1,0,0,1
50,48,Yes,Travel_Rarely,626,Research & Development,1.0,2,Life Sciences,1,Male,98.0,2,3,Laboratory Technician,3,Single,5381.0,9,Yes,13.0,3,4,0,23,2,3,1,0,0,0
51,28,Yes,Travel_Rarely,1434,Research & Development,5.0,4,Technical Degree,3,Male,50.0,3,1,Laboratory Technician,3,Single,3441.0,1,Yes,13.0,3,3,0,2,3,2,2,2,2,2
52,44,No,Travel_Rarely,1488,Sales,1.0,5,Marketing,2,Female,75.0,3,2,Sales Executive,1,Divorced,5454.0,5,Yes,21.0,4,3,1,9,2,2,4,3,1,3
53,35,No,Non-Travel,1097,Research & Development,11.0,2,Medical,3,Male,79.0,2,3,Healthcare Representative,1,Married,9884.0,2,Yes,13.0,3,3,1,10,3,3,4,0,2,3
54,26,No,Travel_Rarely,1443,Sales,23.0,3,Marketing,3,Female,47.0,2,2,Sales Executive,4,Married,4157.0,7,Yes,19.0,3,3,1,5,2,2,2,2,0,0
55,33,No,Travel_Frequently,515,Research & Development,1.0,2,Life Sciences,1,Female,98.0,3,3,Research Director,4,Single,13458.0,1,Yes,12.0,3,3,0,15,1,3,15,11,8,10
56,35,No,Travel_Frequently,853,Sales,18.0,5,Life Sciences,2,Male,71.0,3,3,Sales Executive,1,Married,9069.0,1,No,22.0,4,4,1,9,3,2,9,8,1,8
57,35,No,Travel_Rarely,1142,Research & Development,23.0,4,Medical,3,Female,30.0,3,1,Laboratory Technician,1,Married,4014.0,3,Yes,15.0,3,3,1,4,3,3,2,2,2,2
58,31,No,Travel_Rarely,655,Research & Development,7.0,4,Life Sciences,4,Male,48.0,3,2,Laboratory Technician,4,Divorced,5915.0,3,No,22.0,4,4,1,10,3,2,7,7,1,7
59,37,No,Travel_Rarely,1115,Research & Development,1.0,4,Life Sciences,1,Male,51.0,2,2,Manufacturing Director,3,Divorced,5993.0,1,No,18.0,3,3,1,7,2,4,7,5,0,7
60,32,No,Travel_Rarely,427,Research & Development,1.0,3,Medical,1,Male,33.0,3,2,Manufacturing Director,4,Married,6162.0,1,Yes,22.0,4,2,1,9,3,3,9,8,7,8
61,38,No,Travel_Frequently,653,Research & Development,29.0,5,Life Sciences,4,Female,50.0,3,2,Laboratory Technician,4,Single,2406.0,1,No,11.0,3,4,0,10,2,3,10,3,9,9
62,50,No,Travel_Rarely,989,Research & Development,7.0,2,Medical,2,Female,43.0,2,5,Research Director,3,Divorced,17727.699999999993,5,Yes,12.0,3,4,1,28,2,2,20,3,9,8
63,59,No,Travel_Rarely,1435,Sales,25.0,3,Life Sciences,1,Female,99.0,3,3,Sales Executive,1,Single,7637.0,7,No,11.0,3,4,0,28,3,2,20,11,7,9
64,36,No,Travel_Rarely,1223,Research & Development,8.0,3,Technical Degree,3,Female,59.0,3,3,Healthcare Representative,3,Divorced,10096.0,1,No,13.0,3,2,3,17,2,3,17,11,9,8
65,55,No,Travel_Rarely,836,Research & Development,8.0,3,Medical,4,Female,33.0,3,4,Manager,3,Divorced,14756.0,2,Yes,14.0,3,3,3,21,2,3,5,0,0,2
66,36,No,Travel_Frequently,1195,Research & Development,11.0,3,Life Sciences,2,Male,95.0,2,2,Manufacturing Director,2,Single,6499.0,1,No,13.0,3,3,0,6,3,3,6,5,0,3
67,45,No,Travel_Rarely,1339,Research & Development,7.0,3,Life Sciences,2,Male,59.0,3,3,Research Scientist,1,Divorced,9724.0,2,No,17.0,3,3,1,25,2,3,1,0,0,0
68,35,No,Travel_Frequently,664,Research & Development,1.0,3,Medical,2,Male,79.0,3,1,Research Scientist,1,Married,2194.0,4,No,13.0,3,4,1,5,2,2,3,2,1,2
69,36,Yes,Travel_Rarely,318,Research & Development,9.0,3,Medical,4,Male,79.0,2,1,Research Scientist,3,Married,3388.0,0,Yes,17.0,3,1,1,2,1,2,1,0,0,0
70,59,No,Travel_Frequently,1225,Sales,1.0,1,Life Sciences,1,Female,57.0,2,2,Sales Executive,3,Single,5473.0,7,No,11.0,3,4,0,20,2,2,4,3,1,3
71,29,No,Travel_Rarely,1328,Research & Development,2.0,3,Life Sciences,3,Male,76.0,3,1,Research Scientist,2,Married,2703.0,0,No,23.0,4,4,1,6,3,3,5,4,0,4
72,31,No,Travel_Rarely,1082,Research & Development,1.0,4,Medical,3,Male,87.0,3,1,Research Scientist,2,Single,2501.0,1,No,17.0,3,2,0,1,4,3,1,1,1,0
73,32,No,Travel_Rarely,548,Research & Development,1.0,3,Life Sciences,2,Male,66.0,3,2,Research Scientist,2,Married,6220.0,1,No,17.0,3,2,2,10,3,3,10,4,0,9
74,36,No,Travel_Rarely,132,Research & Development,6.0,3,Life Sciences,2,Female,55.0,4,1,Laboratory Technician,4,Married,3038.0,3,No,12.0,3,2,0,5,3,3,1,0,0,0
75,31,No,Travel_Rarely,746,Research & Development,8.0,4,Life Sciences,3,Female,61.0,3,2,Manufacturing Director,4,Single,4424.0,1,No,23.0,4,4,0,11,2,3,11,7,1,8
76,35,No,Travel_Rarely,776,Sales,1.0,4,Marketing,3,Male,32.0,2,2,Sales Executive,1,Single,4312.0,0,No,14.0,3,2,0,16,2,3,15,11,2,8
77,45,No,Travel_Rarely,193,Research & Development,6.0,4,Other,4,Male,52.0,3,3,Research Director,1,Married,13245.0,4,Yes,14.0,3,2,0,17,3,4,1,0,0,0
78,37,No,Travel_Rarely,397,Research & Development,7.0,4,Medical,1,Male,30.0,3,3,Research Director,3,Single,13664.0,4,No,13.0,3,1,0,16,3,4,5,2,0,2
79,46,No,Travel_Rarely,945,Human Resources,5.0,2,Medical,2,Male,80.0,3,2,Human Resources,2,Divorced,5021.0,8,Yes,22.0,4,4,1,16,2,3,4,2,0,2
80,30,No,Travel_Rarely,852,Research & Development,1.0,1,Life Sciences,4,Male,55.0,2,2,Laboratory Technician,4,Married,5126.0,1,Yes,12.0,3,3,2,10,1,2,10,8,3,0
81,35,No,Travel_Rarely,1214,Research & Development,1.0,3,Medical,2,Male,30.0,2,1,Research Scientist,3,Single,2859.0,1,No,18.0,3,1,0,6,3,3,6,4,0,4
82,55,No,Travel_Rarely,111,Sales,1.0,2,Life Sciences,1,Male,70.0,3,3,Sales Executive,4,Married,10239.0,3,No,14.0,3,4,1,24,4,3,1,0,1,0
83,38,No,Non-Travel,573,Research & Development,6.0,3,Medical,2,Female,79.0,1,2,Research Scientist,4,Divorced,5329.0,7,Yes,12.0,3,4,3,17,3,3,13,11,1,9
84,34,No,Travel_Rarely,1153,Research & Development,1.0,2,Medical,1,Male,94.0,3,2,Manufacturing Director,2,Married,4325.0,1,No,15.0,3,3,0,5,2,3,5,2,1,3
85,56,No,Travel_Rarely,1400,Research & Development,7.0,3,Life Sciences,4,Male,49.0,1,3,Manufacturing Director,4,Single,7260.0,4,No,11.0,3,1,0,28,3,2,6,4,0,2
86,23,No,Travel_Rarely,541,Sales,2.0,1,Technical Degree,3,Male,62.0,3,1,Sales Representative,1,Divorced,2322.0,3,No,13.0,3,3,1,3,3,3,1,0,0,0
87,51,No,Travel_Rarely,432,Research & Development,9.0,4,Life Sciences,4,Male,96.0,3,1,Laboratory Technician,4,Married,2097.9,3,No,23.0,4,2,2,10,4,3,4,2,0,3
88,30,No,Travel_Rarely,288,Research & Development,2.0,3,Life Sciences,3,Male,99.0,2,2,Healthcare Representative,4,Married,4152.0,1,No,19.0,3,1,3,11,3,3,11,10,9,8
89,46,Yes,Travel_Rarely,669,Sales,9.0,2,Medical,3,Male,64.0,2,3,Sales Executive,4,Single,9619.0,1,No,16.0,3,4,0,9,3,3,9,8,4,7
90,40,No,Travel_Frequently,530,Research & Development,1.0,4,Life Sciences,3,Male,78.0,2,4,Healthcare Representative,2,Married,13503.0,1,No,22.0,4,4,1,22,3,2,20,3,9,10
91,51,No,Travel_Rarely,632,Sales,21.0,4,Marketing,3,Male,71.0,3,2,Sales Executive,4,Single,5441.0,0,Yes,22.0,4,4,0,11,2,1,10,7,1,0
92,30,No,Travel_Rarely,1334,Sales,4.0,2,Medical,3,Female,63.0,2,2,Sales Executive,2,Divorced,5209.0,1,Yes,12.0,3,2,3,11,4,2,11,8,2,7
93,46,No,Travel_Frequently,638,Research & Development,1.0,3,Medical,3,Male,40.0,2,3,Healthcare Representative,1,Married,10673.0,2,Yes,13.0,3,3,1,21,5,2,10,9,9,5
94,32,No,Travel_Rarely,1093,Sales,6.0,4,Medical,2,Male,87.0,3,2,Sales Executive,3,Single,5010.0,1,No,16.0,3,1,0,12,1,3,11,8,5,7
95,54,No,Travel_Rarely,1217,Research & Development,2.0,4,Technical Degree,1,Female,60.0,3,3,Research Director,3,Married,13549.0,9,No,12.0,3,1,1,16,5,1,4,3,0,3
96,24,No,Travel_Rarely,1353,Sales,3.0,2,Other,1,Female,33.0,3,2,Sales Executive,3,Married,4999.0,0,No,21.0,4,1,1,4,2,2,3,2,0,2
97,28,No,Non-Travel,120,Sales,4.0,3,Medical,2,Male,43.0,3,2,Sales Executive,3,Married,4221.0,1,No,15.0,3,2,0,5,3,4,5,4,0,4
98,58,No,Travel_Rarely,682,Sales,10.0,4,Medical,4,Male,66.0,3,4,Sales Executive,3,Single,13872.0,0,No,13.0,3,3,0,28,1,2,20,10,1,8
99,44,No,Non-Travel,489,Research & Development,23.0,3,Medical,2,Male,67.0,3,2,Laboratory Technician,2,Married,2097.9,4,No,12.0,3,3,1,17,3,4,3,2,1,2
100,37,Yes,Travel_Rarely,807,Human Resources,6.0,4,Human Resources,3,Male,63.0,3,1,Human Resources,1,Divorced,2097.9,4,Yes,22.0,4,4,0,7,3,3,3,2,0,2
101,32,No,Travel_Rarely,827,Research & Development,1.0,1,Life Sciences,4,Male,66.0,3,1,Research Scientist,1,Single,2956.0,1,No,13.0,3,4,0,1,2,3,1,0,0,0
102,20,Yes,Travel_Frequently,871,Research & Development,6.0,3,Life Sciences,4,Female,66.0,2,1,Laboratory Technician,4,Single,2926.0,1,Yes,18.0,3,2,0,1,5,3,1,0,1,0
103,34,No,Travel_Rarely,665,Research & Development,6.0,4,Other,1,Female,41.0,3,2,Research Scientist,3,Single,4809.0,1,No,14.0,3,3,0,16,3,3,16,11,2,10
104,37,No,Non-Travel,1040,Research & Development,2.0,2,Life Sciences,3,Male,100.0,2,2,Healthcare Representative,4,Divorced,5163.0,5,No,14.0,3,4,1,17,2,4,1,0,0,0
105,59,No,Non-Travel,1420,Human Resources,2.0,4,Human Resources,3,Female,32.0,2,5,Manager,4,Married,17727.699999999993,9,No,21.0,4,4,1,28,3,3,3,2,2,2
106,50,No,Travel_Frequently,1115,Research & Development,1.0,3,Life Sciences,1,Female,73.0,3,5,Research Director,2,Married,17727.699999999993,3,Yes,19.0,3,1,0,28,1,2,8,3,0,7
107,25,Yes,Travel_Rarely,240,Sales,5.0,3,Marketing,3,Male,46.0,2,2,Sales Executive,3,Single,5744.0,1,Yes,11.0,3,4,0,6,1,3,6,4,0,3
108,25,No,Travel_Rarely,1280,Research & Development,7.0,1,Medical,4,Male,64.0,2,1,Research Scientist,4,Married,2889.0,1,No,11.0,3,3,2,2,2,3,2,2,2,1
109,22,No,Travel_Rarely,534,Research & Development,15.0,3,Medical,2,Female,59.0,3,1,Laboratory Technician,4,Single,2871.0,1,No,15.0,3,3,0,1,5,3,1,0,0,0
110,51,No,Travel_Frequently,1456,Research & Development,1.0,4,Medical,1,Female,30.0,2,3,Healthcare Representative,1,Single,7484.0,3,No,20.0,4,3,0,23,1,2,13,11,9,8
111,34,Yes,Travel_Frequently,658,Research & Development,7.0,3,Life Sciences,1,Male,66.0,1,2,Laboratory Technician,3,Single,6074.0,1,Yes,24.0,4,4,0,9,3,3,9,7,0,6
112,54,No,Non-Travel,142,Human Resources,26.0,3,Human Resources,4,Female,30.0,4,4,Manager,4,Single,17328.0,2,Yes,12.0,3,3,0,23,3,3,5,3,4,4
113,24,No,Travel_Rarely,1127,Research & Development,18.0,1,Life Sciences,2,Male,52.0,3,1,Laboratory Technician,3,Married,2774.0,0,No,12.0,3,3,1,6,2,3,5,3,1,2
114,34,No,Travel_Rarely,1031,Research & Development,6.0,4,Life Sciences,3,Female,45.0,2,2,Research Scientist,2,Divorced,4505.0,6,No,15.0,3,3,1,12,3,3,1,0,0,0
115,37,No,Travel_Rarely,1189,Sales,3.0,3,Life Sciences,3,Male,87.0,3,3,Sales Executive,4,Single,7428.0,2,No,12.0,3,1,0,12,3,3,5,3,1,3
116,34,No,Travel_Rarely,1354,Research & Development,5.0,3,Medical,3,Female,45.0,2,3,Manager,1,Single,11631.0,2,No,12.0,3,4,0,14,5,3,11,10,5,8
117,36,No,Travel_Frequently,1467,Sales,11.0,2,Technical Degree,2,Female,92.0,3,3,Sales Executive,4,Married,9738.0,0,No,14.0,3,3,1,10,5,3,9,7,2,8
118,36,No,Travel_Rarely,922,Research & Development,3.0,2,Life Sciences,1,Female,39.0,3,1,Laboratory Technician,4,Divorced,2835.0,5,No,22.0,4,1,1,7,2,3,1,0,0,0
119,43,No,Travel_Frequently,394,Sales,26.0,2,Life Sciences,3,Male,92.0,3,4,Manager,4,Married,16959.0,1,Yes,12.0,3,4,2,25,3,4,20,11,4,10
120,30,No,Travel_Frequently,1312,Research & Development,23.0,3,Life Sciences,1,Male,96.0,1,1,Research Scientist,3,Divorced,2613.0,1,No,25.0,4,3,3,10,2,2,10,7,0,9
121,33,No,Non-Travel,750,Sales,22.0,2,Marketing,3,Male,95.0,3,2,Sales Executive,2,Married,6146.0,0,No,13.0,3,1,1,8,2,4,7,7,0,7
122,56,Yes,Travel_Rarely,441,Research & Development,14.0,4,Life Sciences,2,Female,72.0,3,1,Research Scientist,2,Married,4963.0,9,Yes,18.0,3,1,3,7,2,3,5,4,4,3
123,51,No,Travel_Rarely,684,Research & Development,6.0,3,Life Sciences,1,Male,51.0,3,5,Research Director,3,Single,17727.699999999993,7,No,13.0,3,3,0,23,5,3,20,11,9,10
124,31,Yes,Travel_Rarely,249,Sales,6.0,4,Life Sciences,2,Male,76.0,1,2,Sales Executive,3,Married,6172.0,4,Yes,18.0,3,2,0,12,3,2,7,7,7,7
125,26,No,Travel_Rarely,841,Research & Development,6.0,3,Other,3,Female,46.0,2,1,Research Scientist,2,Married,2368.0,1,No,19.0,3,3,0,5,3,2,5,4,4,3
126,58,Yes,Travel_Rarely,147,Research & Development,23.0,4,Medical,4,Female,94.0,3,3,Healthcare Representative,4,Married,10312.0,1,No,12.0,3,4,1,28,3,2,20,10,9,6
127,19,Yes,Travel_Rarely,528,Sales,22.0,1,Marketing,4,Male,50.0,3,1,Sales Representative,3,Single,2097.9,1,Yes,19.0,3,4,0,1,2,2,1,0,0,0
128,22,No,Travel_Rarely,594,Research & Development,2.0,1,Technical Degree,3,Male,100.0,3,1,Laboratory Technician,4,Married,2523.0,0,No,14.0,3,3,1,3,2,3,2,1,2,1
129,49,No,Travel_Rarely,470,Research & Development,20.0,4,Medical,3,Female,96.0,3,2,Manufacturing Director,1,Married,6567.0,1,No,14.0,3,3,0,16,2,2,15,11,5,10
130,43,No,Travel_Frequently,957,Research & Development,28.0,3,Medical,2,Female,72.0,4,1,Research Scientist,3,Single,4739.0,4,No,12.0,3,4,0,18,2,3,3,2,1,2
131,50,No,Travel_Frequently,809,Sales,12.0,3,Marketing,3,Female,77.0,3,3,Sales Executive,4,Single,9208.0,4,No,11.0,3,4,0,16,3,3,2,2,2,1
132,31,Yes,Travel_Rarely,542,Sales,20.0,3,Life Sciences,2,Female,66.0,1,2,Sales Executive,3,Married,4559.0,3,Yes,11.0,3,3,1,4,2,3,2,2,2,2
133,41,No,Travel_Rarely,802,Sales,9.0,1,Life Sciences,3,Male,96.0,3,3,Sales Executive,3,Divorced,8189.0,3,Yes,13.0,3,3,1,12,2,3,9,7,0,7
134,26,No,Travel_Rarely,1355,Human Resources,7.0,1,Life Sciences,3,Female,61.0,3,1,Human Resources,3,Married,2942.0,1,No,23.0,4,4,1,8,3,3,8,7,5,7
135,36,No,Travel_Rarely,216,Research & Development,6.0,2,Medical,2,Male,84.0,3,2,Manufacturing Director,2,Divorced,4941.0,6,No,20.0,4,4,2,7,1,3,3,2,0,1
136,51,Yes,Travel_Frequently,1150,Research & Development,8.0,4,Life Sciences,1,Male,53.0,1,3,Manufacturing Director,4,Single,10650.0,2,No,15.0,3,4,0,18,2,3,4,2,0,3
137,39,No,Travel_Rarely,1329,Sales,4.0,4,Life Sciences,4,Female,47.0,2,2,Sales Executive,3,Married,5902.0,4,No,14.0,3,3,1,17,1,4,15,11,5,9
138,25,No,Travel_Rarely,959,Sales,28.0,3,Life Sciences,1,Male,41.0,2,2,Sales Executive,3,Married,8639.0,2,No,18.0,3,4,0,6,3,3,2,2,2,2
139,30,No,Travel_Rarely,1240,Human Resources,9.0,3,Human Resources,3,Male,48.0,3,2,Human Resources,4,Married,6347.0,0,Yes,19.0,3,4,0,12,2,1,11,9,4,7
140,32,Yes,Travel_Rarely,1033,Research & Development,9.0,3,Medical,1,Female,41.0,3,1,Laboratory Technician,1,Single,4200.0,7,No,22.0,4,1,0,10,2,4,5,4,0,4
141,45,No,Travel_Rarely,1316,Research & Development,29.0,3,Medical,3,Male,83.0,3,1,Research Scientist,4,Single,3452.0,5,No,13.0,3,2,0,9,2,2,6,5,0,3
142,38,No,Travel_Rarely,364,Research & Development,3.0,5,Technical Degree,4,Female,32.0,3,2,Research Scientist,3,Single,4317.0,3,Yes,20.0,4,2,0,19,2,3,3,2,2,2
